label,body
0,"@RaheemKassam The authorities are clearly worried about some sort of dystopian canine uprising, where border collie… https://t.co/KTc9xLtv0R"
0,An Afghan refugee who was found lying unconscious on the side of a suburban Adelaide road next to the body of his d… https://t.co/ZWdG2J7Azv
0,"Exodus 19:12 Young's Literal Translation
And thou hast made a border for the people round about, saying, Take heed… https://t.co/Ln9seBJ4uC"
0,"@BasedMonitored What next for Whites, tires filled with gas... like their dead black hero ?
What Fu-ked Up Continen… https://t.co/lFOCwvxqul"
0,"What is in store for Christians under Sharia Law?

Unless the migrant influx is slowed and ultimately stopped Chris… https://t.co/E3TU7A7EJO"
1,"(TURKEY) ""14 Illegal Immigrants (most likely Muslims) die trying to cross the Aegean Sea, at night, from Turkey to… https://t.co/uKtgyCEpnI"
0,"こんなヒドい目にあって逃げてきた人を助けてあげなくてどうすんだ？という方向で訴えれば響く人もいると思う。
それを日本は多様性を認めるべきだみたいに上から言うから反発招くんじゃないかなと https://t.co/SaqoKIPRLx"
0,"@grandmasforEU @BudgenRupert @janmicham Kingston other than that incident has been fine. One of the safest, friendl… https://t.co/YCy0tOlwpO"
0,EN TODOS ESTOS CASOS Y OTROS DEMOSTRADOS SIN DUDA YO VOTO POR LA PENA DE MUERTE! QUERÉS PRISION PARA ESTA BESTIA CA… https://t.co/9hxNv4KNHk
0,A President that makes sense: https://t.co/F4J2oik42S  https://t.co/Hgljrbon7G
0,"RT @LoriUSCongress: Border walls and death penalties won't solve our opioid crisis, but aggressive commitment to preventive education and r…"
0,"RT @EmGusk: I read this story in the newspaper yesterday, but just watched the video, which brought me to tears https://t.co/VG744ibOXK"
0,"I read this story in the newspaper yesterday, but just watched the video, which brought me to tears https://t.co/VG744ibOXK"
0,Sauf qu'ils n'ont pas immédiatement été placés en camp de rétention avant expulsion administrative sine die. Le sén… https://t.co/5l3wuWPxuQ
0,@ndisdaimon `por??¿¿ no te entiendo es por lo del tinte por usar a un pobre inmigrante muerto para su causa de mult… https://t.co/fksFPjzVXh
0,"RT @JavierSnchez9: Venga, a ver si Podemos utilizar esta muerte (sin contrastar, investigar o esperar a ver qué ha pasado) antes de que enf…"
0,RT @jonevalles1: Y ya k les lleven a su casa alucinó https://t.co/XoggSyCyMQ
0,"RT @sufragio: Luego de destruir Libia y desestabilizar Medio Oriente por poder y riqueza, le cerraron las puertas de EEUU y Europa a los in…"
0,RT @Sarabruxelles: 258 million migrants today and increasing. Is it more humane to die for economic reasons than from war? We talk about pe…
0,@dcborn61 How about a person who sells guns to drug cartel members and one of them is used to murder a border patro… https://t.co/LhpwXbrnzJ
0,"RT @Jonatha07038538: #LoveTrump Its about time drugdealers start paying for there dirty deeds 
#MAGA #tictocnews #trumptrain 
#firstdayofsp…"
0,"RT @knowwhereIstand: I concur: @BridgetCambria8, @jax_kline
@karhoff &amp; all associated with @aldea_pjc do heroic work -- AND they are incred…"
0,"RT @Hoodia_Hoodia: @SueWhitaker11 #TheGreatAwakening #PedoGate
 
'UNELECTED' EU HAS NO RIGHT TO TELL ITALY WHAT TO DO!
 
TELL THE PEDOPEAN…"
0,"Hundreds of toads have been rescued.

https://t.co/kLjxQcRhMy"
0,Die Messe wurde abgesagt! Die Kirche entweiht. Es wird zerstört was man nicht versteht.Gewalt und Zerstörung gegen… https://t.co/Hdw6yDwYCP
0,"“He looked like he had been in a concentration camp."" This picture. https://t.co/LiFE31CW6p"
0,"The terrible practice of separating children from their parents at the US border continues, the Washington Post rep… https://t.co/zCTkipInG8"
0,"@LBC Maybe a compromise, brexiters up in arms about fishing,costs,open borders and migrant cap,remainers angry abou… https://t.co/Ezifd93VVx"
1,"The bodies of 16 people, including at least five children, were recovered off a Greek island  after a boat smugglin… https://t.co/eRMVAP2YWe"
1,Greece: 16 migrants die as smuggling boat sinks in Aegean - Washington Post https://t.co/fzQPvO0PsG
0,"RT @AlcalaNocturno: Cierto, el Succubus Club, el legendario club nocturno regentado por y para Vástagos, fue destruido. Sin embargo, su esp…"
0,"Over 40 per cent of Syrian refugee children in Turkey missing out on education, despite massive increase in enrolme… https://t.co/Kv2dCdmIS8"
0,"@FLOTUS @ManchesterFD @POTUS Nprtern New Mexivo is JUST AS BAD...and we're a border state!!
 Look at the o.d. death stats."
0,"@Ethiopia_Abebe @MaazaMengiste Because the living to dead ratio still favors migration, hundreds of thousands cross… https://t.co/24SSxFM62x"
0,#CriminalJustice https://t.co/vAxTDDaFaZ
0,RT @OluyomiOjo: I told a friend today never to feel bad moving to the west. Those that are there today moved from somewhere in search of su…
0,Death pealty should be automatic for dealers &amp; for murderers who premeditate to take a life also! https://t.co/9pNt9nX48Y
0,"@mierder_ usted es la que mete mierda, fueron abc y el mundo los que dijeron en un primer momento que el inmigrante… https://t.co/yeBKOJIGUT"
